adventure_keyword_count,adventure_keyword_binary,relaxation_keyword_count,relaxation_keyword_binary,culture_keyword_count,culture_keyword_binary,budget_keyword_count,budget_keyword_binary,luxury_keyword_count,luxury_keyword_binary,family_keyword_count,family_keyword_binary,adventure_keyword_ratio,relaxation_keyword_ratio,culture_keyword_ratio,budget_keyword_ratio,luxury_keyword_ratio,family_keyword_ratio,price_tier,region_southeast_asia,region_east_asia,region_south_asia,region_central_asia,region_western_europe,region_eastern_europe,region_southern_europe,region_northern_europe,region_north_america,region_central_america,region_south_america,region_caribbean,region_north_africa,region_west_africa,region_east_africa,region_southern_africa,region_middle_east,region_oceania,destination_name,label
8,1,0,0,0,0,0,0,2,1,0,0,0.8,0.0,0.0,0.0,0.2,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Langkawi,Relaxation
6,1,1,0,1,0,1,1,1,1,0,0,0.6,0.1,0.1,0.1,0.1,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bora Bora,Luxury
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mahe,Relaxation
5,1,1,0,3,1,0,0,1,1,0,0,0.5,0.1,0.3,0.0,0.1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lombok,Relaxation
0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bucharest,Budget
0,0,1,0,4,1,0,0,0,0,1,1,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phnom Penh,Budget
1,0,0,0,6,1,0,0,0,0,1,1,0.125,0.0,0.75,0.0,0.0,0.125,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yangon,Budget
2,0,1,0,8,1,5,1,0,0,1,1,0.11764705882352941,0.058823529411764705,0.47058823529411764,0.29411764705882354,0.0,0.058823529411764705,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Quito,Budget
0,0,0,0,4,1,1,1,0,0,0,0,0.0,0.0,0.8,0.2,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Addis Ababa,Budget
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Athens,Culture
1,0,0,0,3,1,1,1,0,0,0,0,0.2,0.0,0.6,0.2,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fez,Culture
2,0,1,0,9,1,0,0,0,0,2,1,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.0,0.0,0.14285714285714285,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lima,Culture
0,0,0,0,1,0,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xi'an,Culture
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Cartagena,Culture
7,1,1,0,5,1,2,1,0,0,0,0,0.4666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Huaraz,Adventure
8,1,1,0,2,0,4,1,1,1,0,0,0.5,0.0625,0.125,0.25,0.0625,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dahab,Adventure
3,1,0,0,5,1,0,0,0,0,0,0,0.375,0.0,0.625,0.0,0.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Namche Bazaar,Adventure
4,1,2,0,1,0,0,0,0,0,1,1,0.5,0.25,0.125,0.0,0.0,0.125,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tofino,Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Andasibe,Adventure
2,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Como,Luxury
0,0,1,0,0,0,0,0,2,1,0,0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Positano,Luxury
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Courchevel,Luxury
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Turks and Caicos,Luxury
